ID;expression1;expression2;sentence1;sentence2
hom_2015; sound business practices; sound business practices; The company succeeded by implementing sound business practices.; The music store owner prioritized sound business practices to provide excellent audio products.
hom_1894;shocking;shocking;Improper wiring can lead to shocking accidents in the home.;The news of the company's bankruptcy was utterly shocking.
hom_1342; last resort; last resort; After exhausting all other options, negotiating became their last resort.; They booked a stay at the seaside last resort for their family vacation.
het_69; window; window; I need to clean the window to remove the smudges.; She looked out of her window to watch the sunset.
het_530;tolled;told;The church bells tolled to mark the hour.;He told himself to remain calm during the meeting.
hom_2157;see myself;see myself;I see myself as a successful entrepreneur in the future.;Every morning, I see myself in the mirror before leaving for work.
hom_1058;delivery;delivery;The mailman arrived on time for his daily delivery.;The comedian's delivery was impeccable, making every joke land perfectly.
hom_748;prior approval;prior approval;The project cannot proceed without prior approval from the manager.;The monks required prior approval from the Prior before taking vows.
het_877;out to launch;out to lunch;The team was out to launch the new satellite on schedule.;She is out to lunch and will return in an hour.
het_267;negative;negative;He reviewed the film negatives carefully.;She has a negative outlook on life.
hom_2041;summer;summer;Summer is my favorite season because of the warm weather.;The summer carefully summed all the numbers in the equation.
hom_231;Mass;Mass;Massachusetts is located in the northeastern United States.;They attended mass every Sunday morning.
hom_235;crowning achievement;crowning achievement;The coronation's crowning achievement was the placement of the royal crown.;Winning the championship was her crowning achievement in her athletic career.
het_574;express;espresso;It's important to express your feelings clearly.;She ordered an espresso every morning.
hom_1791;flop;flop;The new product was a complete flop, failing to attract customers.;Without proper support, the shelves would flop under the weight.
het_538;hollered;hollowed;She hollered at the top of her lungs to be heard over the crowd.;The woodworker hollowed out the center of the log to make a bowl.
hom_1154;devices;devices;The engineer designed several new devices for the laboratory.;The strategist carefully crafted devices to outmaneuver the competition.
het_1071;census;senses;The government conducted a census to count the population.;As people age, their senses often become less sharp.
het_301;koi;coy;She added a vibrant koi to her garden pond to enhance its beauty.;He chose to remain coy during the negotiation to keep his true intentions hidden.
het_287;garden;guarding;She tends to her garden every morning.;The security team is guarding the entrance.
hom_1796;grave;grave;The committee viewed the environmental crisis as a grave concern that needed urgent action.;They visited their ancestor's grave during the family reunion.
het_1165;Actions speak louder than words;Actions speak louder than words;His consistent volunteering shows that actions speak louder than words.;Her sudden departure made it clear that actions speak louder than words.
het_724; on the lam; on the lamb; After stealing the diamond, the thief was on the lam to avoid capture.; The shepherd was on the lamb, tending to the newborn sheep.
het_609; vise; vice; She tightened the vise on the workbench to secure the wood.; His habit was considered a serious vice by the community.
hom_1501; animated; animated; The film was beautifully animated, capturing every detail.; She has an animated personality that lights up the room.
het_1631;cannily;Cannes;She managed the project cannily, ensuring all resources were used efficiently.;They attended the Cannes film festival in Southern France last summer.
hom_616;obvious;obviously;The solution was obvious.;She was obviously tired.
hom_1096;degrees;degrees;There are many degrees of complexity in the puzzle.;She earned her degree in psychology last spring.
het_1218;blanc;blank;The wine taster poured a glass of blanc.;He maintained a blank stare throughout the conversation.
hom_1699;Frank;Frank;Frank went to the market to buy groceries.; I ordered a Frank with mustard and relish.
hom_2148;duke;duke;The duke attended the royal banquet.;They decided to duke it out in the championship match.
het_1303; crank; crank; He was crank all morning.; He pulled the crank to start the engine.
het_1112;phased out;phrased out;The company will phase out the old technology by next year.;The writer carefully phrased out the final paragraph to enhance clarity.
het_1201; serial; cereal; The computer uses serial communication for data transfer.; She had a bowl of cereal for breakfast.
het_216; coup; coop; The general planned a military coup to overthrow the government.; The farmer built a new coop to house his chickens.
hom_592; plagiarism; plagiarism; "The author was found guilty of plagiarism after submitting identical sections of another's work."; "In academic circles, plagiarism is considered a severe violation of integrity."
hom_512;planted;planted;The coordinator planted questions to guide the discussion during the presentation.;The farmer planted seeds in the field to cultivate crops.
het_126;rumor;roomer;There was a rumor circulating about the company's new merger.;The landlady welcomed a new roomer into her rental property.
het_328;praise;price;She received much praise for her performance.;The price of the shoes was too high for her budget.
het_1450;abscessed;obsessed;The patient was abscessed in his lower jaw, requiring immediate treatment.;She was obsessed with completing the project on time.
